SkillType,NodeValue,Group,,,,
Coding,15,2,,,,
Tech,50,1,,,,
DataVisualization,6,2,,,,
Business,50,1,,,,
Presentations,15,2,,,,|
Analytics,15,2,,,,
Insight Generation,6,2,,,,
Marketing,6,2,,,,
Digital Campaigns,4,3,,,,
Growth Hacking,4,3,,,,
R,4,3,,,,
SQL,4,3,,,,
Machine Learning,4,3,,,,
Python,4,3,,,,
Tableau,4,3,,,,
D3,4,3,,,,
Product Marketing,4,3,,,,
Social Media,4,3,,,,
Search Ads,4,3,,,,
KPI Definition,4,3,,,,
Dashboard and Reports,4,3,,,,
Gamification,4,3,,,,
Product Design,4,3,,,,
